name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Private Parking,Airport Shuttle (free),Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Baggage Storage,Laundry,Free WiFi,Air Conditioning,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Designated Smoking Area,Facilities for Disabled Guests,good Spa & Wellness Center,Bar,wonderful Fitness Center,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,excellent Fitness Center,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
SIXTY SoHo,10012,854,8.6,9.1,8.7,8.4,8.6,7.6,8.2,9.4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(3.1 miles from center)
Hotel Lucerne,10024,"2,033",8.5,8.9,8.4,8.1,8.5,7.8,8.8,9.1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.1 miles from center)
The Time New York,10019,"2,110",8.2,8.5,8,7.8,8.5,7.3,8.9,9.2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"(2,800 feet from center)"
Best Western Premier Herald Square,10018,"1,331",8.5,8.9,8.2,8.2,8.7,7.9,8.8,9.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,(1.2 miles from center)
Fairfield Inn by Marriott New York Manhattan/Financial District,10038,"2,925",8.2,8.7,8,7.9,8.9,7.6,8.8,8.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,(4.3 miles from center)
Club Quarters Hotel Midtown - Times Square,10036,"1,193",8.1,8.1,7.7,7.7,8.4,7.4,9,9.3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(0.8 miles from center)
Hyatt Herald Square New York / 5th Avenue,10001,"1,635",8.2,8.5,8,7.8,8.5,7.5,8.2,8.9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.5 miles from center)
Sohotel,10013,"2,129",8.3,8.6,7.9,7.7,8.8,7.7,8.3,8.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,(3.1 miles from center)
The Jewel Facing Rockefeller Center,10019,"1,123",8.6,8.8,8.3,8.3,8.9,8,9.3,9.6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(0.6 miles from center)
U Hotel Fifth Avenue,0016 ,"2,030",8.1,8.5,7.4,7.2,8.5,7.5,7.5,9.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,(1.3 miles from center)
